entry_date,entry_data,ai_insights
2025-08-20,"{""mood"": {""overall"": 7, ""notes"": """"}, ""energy"": {""level"": 6, ""consistency"": ""steady""}, ""sleep"": {""quality"": 7, ""hours"": 7.5, ""interruptions"": 1}, ""stress"": {""level"": 4, ""triggers"": []}, ""physical"": {""overall_health"": 7, ""activity_level"": ""moderate"", ""pain_level"": 1}, ""hydration"": {""water_glasses"": 8, ""coffee_cups"": 2}, ""nutrition"": {""calories"": 2200, ""meals_count"": 4, ""nutrition_quality"": 7, ""protein_adequate"": true, ""vegetables_servings"": 4, ""cravings"": null, ""supplements"": [""protein"", ""vitamins""]}, ""social"": {""interaction_level"": 6}, ""workout"": {""did_workout"": true, ""activities"": [""strength"", ""cardio""], ""satisfaction"": 8, ""notes"": ""Great session""}, ""body"": {""weight"": 75.2, ""body_satisfaction"": 7}}",
2025-08-22,"{""mood"": {""overall"": 8, ""notes"": ""Feeling good""}, ""energy"": {""level"": 7, ""consistency"": ""steady""}, ""sleep"": {""quality"": 8, ""hours"": 8.0, ""interruptions"": 0}, ""stress"": {""level"": 3, ""triggers"": []}, ""physical"": {""overall_health"": 8, ""activity_level"": ""active"", ""pain_level"": 0}, ""hydration"": {""water_glasses"": 9, ""coffee_cups"": 1}, ""nutrition"": {""calories"": 2400, ""meals_count"": 4, ""nutrition_quality"": 8, ""protein_adequate"": true, ""vegetables_servings"": 5, ""cravings"": null, ""supplements"": [""protein"", ""creatine""]}, ""social"": {""interaction_level"": 7}, ""workout"": {""did_workout"": true, ""activities"": [""running"", ""strength""], ""satisfaction"": 9, ""notes"": ""Felt strong""}, ""body"": {""weight"": 75.0, ""body_satisfaction"": 8}}",
2025-08-24,"{""mood"": {""overall"": 6, ""notes"": ""Tired today""}, ""energy"": {""level"": 5, ""consistency"": ""fluctuating""}, ""sleep"": {""quality"": 6, ""hours"": 6.5, ""interruptions"": 2}, ""stress"": {""level"": 5, ""triggers"": [""work""]}, ""physical"": {""overall_health"": 6, ""activity_level"": ""light"", ""pain_level"": 2}, ""hydration"": {""water_glasses"": 6, ""coffee_cups"": 3}, ""nutrition"": {""calories"": 2000, ""meals_count"": 3, ""nutrition_quality"": 6, ""protein_adequate"": false, ""vegetables_servings"": 3, ""cravings"": [""sweet""], ""supplements"": [""vitamins""]}, ""social"": {""interaction_level"": 5}, ""workout"": {""did_workout"": false, ""activities"": null, ""satisfaction"": null, ""notes"": ""Rest day""}, ""body"": {""weight"": 75.5, ""body_satisfaction"": 6}}",
2025-08-26,"{""mood"": {""overall"": 7, ""notes"": """"}, ""energy"": {""level"": 7, ""consistency"": ""steady""}, ""sleep"": {""quality"": 7, ""hours"": 7.8, ""interruptions"": 1}, ""stress"": {""level"": 4, ""triggers"": []}, ""physical"": {""overall_health"": 7, ""activity_level"": ""moderate"", ""pain_level"": 1}, ""hydration"": {""water_glasses"": 8, ""coffee_cups"": 2}, ""nutrition"": {""calories"": 2300, ""meals_count"": 4, ""nutrition_quality"": 7, ""protein_adequate"": true, ""vegetables_servings"": 4, ""cravings"": null, ""supplements"": [""protein"", ""bcaa""]}, ""social"": {""interaction_level"": 6}, ""workout"": {""did_workout"": true, ""activities"": [""yoga"", ""cardio""], ""satisfaction"": 7, ""notes"": """"}, ""body"": {""weight"": 75.1, ""body_satisfaction"": 7}}",
2025-08-28,"{""mood"": {""overall"": 9, ""notes"": ""Great day""}, ""energy"": {""level"": 8, ""consistency"": ""steady""}, ""sleep"": {""quality"": 9, ""hours"": 8.5, ""interruptions"": 0}, ""stress"": {""level"": 2, ""triggers"": []}, ""physical"": {""overall_health"": 9, ""activity_level"": ""very_active"", ""pain_level"": 0}, ""hydration"": {""water_glasses"": 10, ""coffee_cups"": 1}, ""nutrition"": {""calories"": 2500, ""meals_count"": 5, ""nutrition_quality"": 9, ""protein_adequate"": true, ""vegetables_servings"": 6, ""cravings"": null, ""supplements"": [""protein"", ""creatine"", ""vitamins""]}, ""social"": {""interaction_level"": 8}, ""workout"": {""did_workout"": true, ""activities"": [""hiit"", ""strength"", ""cardio""], ""satisfaction"": 10, ""notes"": ""Tough workout""}, ""body"": {""weight"": 74.8, ""body_satisfaction"": 9}}",
2025-08-30,"{""mood"": {""overall"": 6, ""notes"": """"}, ""energy"": {""level"": 5, ""consistency"": ""crashed""}, ""sleep"": {""quality"": 5, ""hours"": 6.0, ""interruptions"": 3}, ""stress"": {""level"": 6, ""triggers"": [""work"", ""finances""]}, ""physical"": {""overall_health"": 6, ""activity_level"": ""sedentary"", ""pain_level"": 3}, ""hydration"": {""water_glasses"": 5, ""coffee_cups"": 3}, ""nutrition"": {""calories"": 1900, ""meals_count"": 3, ""nutrition_quality"": 5, ""protein_adequate"": false, ""vegetables_servings"": 2, ""cravings"": [""sweet"", ""salty""], ""supplements"": null}, ""social"": {""interaction_level"": 4}, ""workout"": {""did_workout"": false, ""activities"": null, ""satisfaction"": null, ""notes"": """"}, ""body"": {""weight"": 76.0, ""body_satisfaction"": 5}}",
2025-09-02,"{""mood"": {""overall"": 7, ""notes"": """"}, ""energy"": {""level"": 6, ""consistency"": ""steady""}, ""sleep"": {""quality"": 7, ""hours"": 7.5, ""interruptions"": 1}, ""stress"": {""level"": 4, ""triggers"": []}, ""physical"": {""overall_health"": 7, ""activity_level"": ""moderate"", ""pain_level"": 1}, ""hydration"": {""water_glasses"": 8, ""coffee_cups"": 2}, ""nutrition"": {""calories"": 2200, ""meals_count"": 4, ""nutrition_quality"": 7, ""protein_adequate"": true, ""vegetables_servings"": 4, ""cravings"": null, ""supplements"": [""protein""]}, ""social"": {""interaction_level"": 6}, ""workout"": {""did_workout"": true, ""activities"": [""cycling"", ""strength""], ""satisfaction"": 8, ""notes"": """"}, ""body"": {""weight"": 75.3, ""body_satisfaction"": 7}}",
2025-09-04,"{""mood"": {""overall"": 8, ""notes"": ""Feeling good""}, ""energy"": {""level"": 7, ""consistency"": ""steady""}, ""sleep"": {""quality"": 8, ""hours"": 8.0, ""interruptions"": 0}, ""stress"": {""level"": 3, ""triggers"": []}, ""physical"": {""overall_health"": 8, ""activity_level"": ""active"", ""pain_level"": 0}, ""hydration"": {""water_glasses"": 9, ""coffee_cups"": 1}, ""nutrition"": {""calories"": 2400, ""meals_count"": 4, ""nutrition_quality"": 8, ""protein_adequate"": true, ""vegetables_servings"": 5, ""cravings"": null, ""supplements"": [""protein"", ""vitamins""]}, ""social"": {""interaction_level"": 7}, ""workout"": {""did_workout"": true, ""activities"": [""running"", ""cardio""], ""satisfaction"": 9, ""notes"": ""Felt strong""}, ""body"": {""weight"": 75.0, ""body_satisfaction"": 8}}",
2025-09-06,"{""mood"": {""overall"": 6, ""notes"": """"}, ""energy"": {""level"": 5, ""consistency"": ""fluctuating""}, ""sleep"": {""quality"": 6, ""hours"": 6.8, ""interruptions"": 2}, ""stress"": {""level"": 5, ""triggers"": [""work""]}, ""physical"": {""overall_health"": 6, ""activity_level"": ""light"", ""pain_level"": 2}, ""hydration"": {""water_glasses"": 7, ""coffee_cups"": 2}, ""nutrition"": {""calories"": 2100, ""meals_count"": 3, ""nutrition_quality"": 6, ""protein_adequate"": true, ""vegetables_servings"": 3, ""cravings"": [""sweet""], ""supplements"": [""vitamins""]}, ""social"": {""interaction_level"": 5}, ""workout"": {""did_workout"": true, ""activities"": [""yoga""], ""satisfaction"": 6, ""notes"": """"}, ""body"": {""weight"": 75.6, ""body_satisfaction"": 6}}",
2025-09-08,"{""mood"": {""overall"": 7, ""notes"": """"}, ""energy"": {""level"": 7, ""consistency"": ""steady""}, ""sleep"": {""quality"": 7, ""hours"": 7.5, ""interruptions"": 1}, ""stress"": {""level"": 4, ""triggers"": []}, ""physical"": {""overall_health"": 7, ""activity_level"": ""moderate"", ""pain_level"": 1}, ""hydration"": {""water_glasses"": 8, ""coffee_cups"": 2}, ""nutrition"": {""calories"": 2250, ""meals_count"": 4, ""nutrition_quality"": 7, ""protein_adequate"": true, ""vegetables_servings"": 4, ""cravings"": null, ""supplements"": [""protein"", ""bcaa""]}, ""social"": {""interaction_level"": 6}, ""workout"": {""did_workout"": true, ""activities"": [""strength"", ""cardio""], ""satisfaction"": 8, ""notes"": ""Great session""}, ""body"": {""weight"": 75.2, ""body_satisfaction"": 7}}",
